Pclass,Age,SibSp,Parch,Fare,Ticket,Q,C,S,male,female,Survived
1,47,0,0,34.0208,36967,0,0,1,1,0,0
2,34,0,0,10.5,34260,0,0,1,0,1,1
3,28,0,0,24.15,371110,1,0,0,1,0,0
2,36,1,0,26,226875,0,0,1,0,1,1
3,32,0,0,7.8958,349242,0,0,1,1,0,0
1,30,0,0,93.5,12749,0,0,1,0,1,1
3,22,0,0,7.8958,349252,0,0,1,1,0,0
3,28,0,0,7.225,2624,0,1,0,1,0,0
1,44,0,1,57.9792,111361,0,1,0,0,1,1
3,28,0,0,7.2292,2700,0,1,0,1,0,0
3,41,0,0,7.75,367232,1,0,0,1,0,0
2,50,0,0,10.5,14258,0,0,1,0,1,1
1,28,0,0,221.7792,17483,0,0,1,1,0,0
3,39,0,0,7.925,3101296,0,0,1,1,0,0
2,23,2,1,11.5,29104,0,0,1,1,0,0
2,2,1,1,26,26360,0,0,1,0,1,1
3,28,0,0,7.2292,2641,0,1,0,1,0,0
3,17,1,1,7.2292,2690,0,1,0,1,0,0
3,28,0,2,22.3583,2668,0,1,0,0,1,1
3,30,0,0,8.6625,315084,0,0,1,0,1,0
2,7,0,2,26.25,13529,0,0,1,0,1,1
1,45,0,0,26.55,113050,0,0,1,1,0,0
1,30,0,0,106.425,17761,0,1,0,0,1,1
3,28,0,0,14.5,364498,0,0,1,1,0,0
1,22,0,2,49.5,13568,0,1,0,0,1,1
1,36,0,2,71,5735,0,0,1,0,1,1
3,9,4,2,31.275,347082,0,0,1,0,1,0
3,11,4,2,31.275,347082,0,0,1,0,1,0
2,32,1,0,26,2908,0,0,1,1,0,1
1,50,1,0,106.425,17761,0,1,0,1,0,0
1,64,0,0,26,693,0,0,1,1,0,0
2,19,1,0,26,2908,0,0,1,0,1,1
2,28,0,0,13.8625,2146,0,1,0,1,0,1
3,33,1,1,20.525,363291,0,0,1,1,0,0
2,8,1,1,36.75,33112,0,0,1,1,0,1
1,17,0,2,110.8833,17421,0,1,0,1,0,1
2,27,0,0,26,244358,0,0,1,1,0,0
3,28,0,0,7.8292,330979,1,0,0,1,0,0
3,22,0,0,7.225,2620,0,1,0,1,0,1
3,22,0,0,7.775,347085,0,0,1,0,1,1
1,62,0,0,26.55,113807,0,0,1,1,0,0
1,48,1,0,39.6,11755,0,1,0,0,1,1
1,28,0,0,227.525,17757,0,1,0,1,0,0
1,39,1,1,79.65,110413,0,0,1,0,1,1
3,36,1,0,17.4,345572,0,0,1,0,1,1
3,28,0,0,7.75,372622,1,0,0,1,0,0
3,40,0,0,7.8958,349251,0,0,1,1,0,0
2,28,0,0,13.5,218629,0,0,1,1,0,0
3,28,0,0,8.05,392082,0,0,1,1,0,0
3,28,0,0,8.05,392087,0,0,1,0,1,0
3,24,2,0,24.15,448871,0,0,1,1,0,0
3,19,0,0,7.8958,349205,0,0,1,1,0,0
3,29,0,4,21.075,349909,0,0,1,0,1,0
3,28,0,0,7.2292,2686,0,1,0,1,0,0
3,32,0,0,7.8542,350417,0,0,1,1,0,1
2,62,0,0,10.5,752,0,0,1,1,0,1
1,53,2,0,51.4792,11769,0,0,1,0,1,1
1,36,0,0,26.3875,17474,0,0,1,1,0,1
3,28,0,0,7.75,14312,1,0,0,0,1,1
3,16,0,0,8.05,420589,0,0,1,1,0,0
3,19,0,0,14.5,358585,0,0,1,1,0,0
2,34,0,0,13,243880,0,0,1,0,1,1
1,39,1,0,55.9,13507,0,0,1,0,1,1
3,28,1,0,14.4583,2689,0,1,0,0,1,0
3,32,0,0,7.925,23101286,0,0,1,1,0,1
2,25,1,1,30,237789,0,0,1,0,1,1
1,39,1,1,110.8833,17421,0,1,0,0,1,1
2,54,0,0,26,28403,0,0,1,1,0,0
1,36,0,0,40.125,13049,0,1,0,1,0,0
3,28,0,0,8.7125,3411,0,1,0,1,0,0
1,18,0,2,79.65,110413,0,0,1,0,1,1
2,47,0,0,15,237565,0,0,1,1,0,0
1,60,1,1,79.2,13567,0,1,0,1,0,1
3,22,0,0,8.05,14973,0,0,1,1,0,0
3,28,0,0,8.05,53235,0,0,1,1,0,0
3,35,0,0,7.125,23101273,0,0,1,1,0,0
1,52,1,0,78.2667,36947,0,1,0,0,1,1
3,47,0,0,7.25,53902,0,0,1,1,0,0
3,28,0,2,7.75,364848,1,0,0,0,1,0
2,37,1,0,26,29037,0,0,1,1,0,0
3,36,1,1,24.15,345773,0,0,1,1,0,0
2,28,0,0,33,248727,0,0,1,0,1,1
3,49,0,0,0,0,0,0,1,1,0,0
3,28,0,0,7.225,2664,0,1,0,1,0,0
1,49,1,0,56.9292,17485,0,1,0,1,0,1
2,24,2,1,27,243847,0,0,1,0,1,1
3,28,0,0,7.8958,349214,0,0,1,1,0,0
1,28,0,0,42.4,113796,0,0,1,1,0,0
3,44,0,0,8.05,364511,0,0,1,1,0,0
1,35,0,0,26.55,111426,0,1,0,1,0,1
3,36,1,0,15.55,349910,0,0,1,1,0,0
3,30,0,0,7.8958,349246,0,0,1,1,0,0
1,27,0,0,30.5,113804,0,0,1,1,0,1
2,22,1,2,41.5792,2123,0,1,0,0,1,1
1,40,0,0,153.4625,17582,0,0,1,0,1,1
3,39,1,5,31.275,347082,0,0,1,0,1,0
3,28,0,0,7.05,3101305,0,0,1,1,0,0
3,28,1,0,15.5,367230,1,0,0,0,1,1
3,28,0,0,7.75,370377,1,0,0,1,0,0
3,35,0,0,8.05,364512,0,0,1,1,0,0
2,24,1,2,65,220845,0,0,1,0,1,1
3,34,1,1,14.4,347080,0,0,1,1,0,0
3,26,1,0,16.1,53336,0,0,1,0,1,0
2,4,2,1,39,230136,0,0,1,0,1,1
2,26,0,0,10.5,31028,0,0,1,1,0,0
3,27,1,0,14.4542,2659,0,1,0,1,0,0
1,42,1,0,52.5542,11753,0,0,1,1,0,1
3,20,1,1,15.7417,2653,0,1,0,1,0,1
3,21,0,0,7.8542,350029,0,0,1,1,0,0
3,21,0,0,16.1,54636,0,0,1,1,0,0
1,61,0,0,32.3208,36963,0,0,1,1,0,0
2,57,0,0,12.35,219533,1,0,0,1,0,0
1,21,0,0,77.9583,13502,0,0,1,0,1,1
3,26,0,0,7.8958,349224,0,0,1,1,0,0
3,28,0,0,7.7333,334912,1,0,0,1,0,0
1,80,0,0,30,27042,0,0,1,1,0,1
3,51,0,0,7.0542,347743,0,0,1,1,0,0
1,32,0,0,30.5,13214,0,1,0,1,0,1
1,28,0,0,0,112052,0,0,1,1,0,0
3,9,3,2,27.9,347088,0,0,1,0,1,0
2,28,0,0,13,237668,0,0,1,0,1,1
3,32,0,0,7.925,23101292,0,0,1,1,0,0
2,31,1,1,26.25,31921,0,0,1,1,0,0
3,41,0,5,39.6875,3101295,0,0,1,0,1,0
3,28,1,0,16.1,376564,0,0,1,1,0,0
3,20,0,0,7.8542,350050,0,0,1,1,0,0
1,24,0,0,69.3,17477,0,1,0,0,1,1
3,2,3,2,27.9,347088,0,0,1,0,1,0
3,28,0,0,56.4958,1601,0,0,1,1,0,1
3,1,2,1,19.2583,2666,0,1,0,0,1,1
1,48,1,0,76.7292,17572,0,1,0,1,0,1
3,19,0,0,7.8958,349231,0,0,1,1,0,0
1,56,0,0,35.5,13213,0,1,0,1,0,1
3,28,0,0,7.55,751,0,0,1,1,0,0
3,23,0,0,7.55,2314,0,0,1,0,1,1
3,28,0,0,7.8958,349221,0,0,1,1,0,0
2,18,0,1,23,231919,0,0,1,0,1,1
3,21,0,0,8.4333,8475,0,0,1,1,0,0
3,28,0,0,7.8292,330919,1,0,0,0,1,1
3,18,0,0,6.75,365226,1,0,0,0,1,0
2,24,2,0,73.5,14879,0,0,1,1,0,0
3,28,0,0,7.8958,349223,0,0,1,1,0,0
3,32,1,1,15.5,364849,1,0,0,0,1,0
2,23,0,0,13,29751,0,0,1,1,0,0
1,58,0,2,113.275,35273,0,1,0,1,0,0
1,50,2,0,133.65,17611,0,0,1,1,0,1
3,40,0,0,7.225,2623,0,1,0,1,0,0
1,47,0,0,25.5875,5727,0,0,1,1,0,0
3,36,0,0,7.4958,349210,0,0,1,1,0,0
3,20,1,0,7.925,23101285,0,0,1,1,0,1
2,32,2,0,73.5,14879,0,0,1,1,0,0
2,25,0,0,13,234686,0,0,1,1,0,0
3,28,0,0,7.775,312993,0,0,1,1,0,0
3,43,0,0,8.05,53536,0,0,1,1,0,0
1,28,1,0,52,19996,0,0,1,0,1,1
2,40,1,1,39,29750,0,0,1,0,1,1
1,31,1,0,52,12750,0,0,1,1,0,0
2,70,0,0,10.5,24580,0,0,1,1,0,0
2,31,0,0,13,244270,0,0,1,1,0,1
2,28,0,0,0,239856,0,0,1,1,0,0
3,18,0,0,7.775,349912,0,0,1,1,0,0
3,25,0,0,8.05,342826,0,0,1,1,0,0
3,18,0,0,9.8417,4138,0,0,1,0,1,1
3,43,1,6,46.9,2144,0,0,1,0,1,0
1,36,0,1,512.3292,17755,0,1,0,1,0,1
3,28,0,0,8.1375,330935,1,0,0,0,1,0
1,27,0,0,76.7292,17572,0,1,0,1,0,1
3,20,0,0,9.225,6563,0,0,1,1,0,0
3,14,5,2,46.9,2144,0,0,1,1,0,0
2,60,1,1,39,29750,0,0,1,1,0,0
2,25,1,2,41.5792,2123,0,1,0,1,0,0
3,14,4,1,39.6875,3101295,0,0,1,1,0,0
3,19,0,0,10.1708,349228,0,0,1,1,0,0
3,18,0,0,7.7958,350036,0,0,1,1,0,0
1,15,0,1,211.3375,24160,0,0,1,0,1,1
1,31,1,0,57,17474,0,0,1,1,0,1
3,4,0,1,13.4167,349256,0,1,0,0,1,1
3,28,0,0,56.4958,1601,0,0,1,1,0,1
3,25,0,0,7.225,2672,0,1,0,1,0,0
1,60,0,0,26.55,113800,0,0,1,1,0,0
2,52,0,0,13.5,248731,0,0,1,1,0,0
3,44,0,0,8.05,363592,0,0,1,1,0,0
3,28,0,0,7.7333,35852,1,0,0,0,1,1
1,49,1,1,110.8833,17421,0,1,0,1,0,0
3,42,0,0,7.65,348121,0,0,1,1,0,0
1,18,1,0,227.525,17757,0,1,0,0,1,1
1,35,0,0,26.2875,17475,0,0,1,1,0,1
3,18,0,1,14.4542,2691,0,1,0,0,1,0
3,25,0,0,7.7417,36864,1,0,0,1,0,0
3,26,1,0,7.8542,350025,0,0,1,1,0,0
2,39,0,0,26,250655,0,0,1,1,0,0
2,45,0,0,13.5,223596,0,0,1,0,1,1
1,42,0,0,26.2875,17476,0,0,1,1,0,1
1,22,0,0,151.55,113781,0,0,1,0,1,1
3,28,1,1,15.2458,2661,0,1,0,1,0,1
1,24,0,0,49.5042,17482,0,1,0,0,1,1
1,28,0,0,26.55,113028,0,0,1,1,0,0
1,48,1,0,52,19996,0,0,1,1,0,1
3,29,0,0,9.4833,7545,0,0,1,1,0,0
2,52,0,0,13,250647,0,0,1,1,0,0
3,19,0,0,7.65,348124,0,0,1,1,0,0
1,38,0,0,227.525,17757,0,1,0,0,1,1
2,27,0,0,10.5,34218,0,0,1,0,1,1
3,28,0,0,15.5,36568,1,0,0,1,0,0
3,33,0,0,7.775,347062,0,0,1,1,0,0
2,6,0,1,33,248727,0,0,1,0,1,1
3,17,1,0,7.0542,350048,0,0,1,1,0,0
2,34,0,0,13,12233,0,0,1,1,0,0
2,50,0,0,13,250643,0,0,1,1,0,0
1,27,1,0,53.1,113806,0,0,1,1,0,1
3,20,0,0,8.6625,315094,0,0,1,1,0,0
2,30,3,0,21,31027,0,0,1,0,1,1
3,28,0,0,7.7375,36866,1,0,0,0,1,1
2,25,1,0,26,236853,0,0,1,1,0,0
3,25,1,0,7.925,23101271,0,0,1,0,1,0
1,29,0,0,211.3375,24160,0,0,1,0,1,1
3,11,0,0,18.7875,2699,0,1,0,1,0,0
2,28,0,0,0,239855,0,0,1,1,0,0
2,23,0,0,13,28425,0,0,1,1,0,0
2,23,0,0,13,233639,0,0,1,1,0,0
3,29,0,0,16.1,54636,0,0,1,1,0,0
3,48,1,3,34.375,6608,0,0,1,0,1,0
1,35,0,0,512.3292,17755,0,1,0,1,0,1
3,28,0,0,7.8958,349201,0,0,1,1,0,0
3,28,0,0,7.8958,349218,0,0,1,1,0,0
1,28,0,0,30,16988,0,0,1,1,0,1
1,36,1,0,78.85,19877,0,0,1,1,0,0
1,21,2,2,262.375,17608,0,1,0,0,1,1
3,24,1,0,16.1,376566,0,0,1,1,0,0
3,31,0,0,7.925,23101288,0,0,1,1,0,1
1,70,1,1,71,5735,0,0,1,1,0,0
3,16,1,1,20.25,2673,0,0,1,1,0,0
2,30,0,0,13,250648,0,0,1,0,1,1
1,19,1,0,53.1,113773,0,0,1,1,0,0
3,31,0,0,7.75,335097,1,0,0,1,0,0
2,4,1,1,23,29103,0,0,1,0,1,1
3,6,0,1,12.475,392096,0,0,1,1,0,1
3,33,0,0,9.5,345780,0,0,1,1,0,0
3,23,0,0,7.8958,349204,0,0,1,1,0,0
2,48,1,2,65,220845,0,0,1,0,1,1
2,1,1,1,14.5,250649,0,0,1,1,0,1
3,28,0,0,7.7958,350042,0,0,1,1,0,0
2,18,0,0,11.5,29108,0,0,1,1,0,0
3,34,0,0,8.05,363294,0,0,1,1,0,0
1,33,0,0,86.5,110152,0,0,1,0,1,1
3,28,0,0,14.5,358585,0,0,1,1,0,0
3,41,0,0,7.125,23101272,0,0,1,1,0,0
3,20,0,0,7.2292,2663,0,1,0,1,0,1
1,36,1,2,120,113760,0,0,1,0,1,1
3,16,0,0,7.775,347074,0,0,1,1,0,0
1,51,1,0,77.9583,13502,0,0,1,0,1,1
1,28,0,0,39.6,112379,0,1,0,1,0,0
3,31,0,0,7.75,364850,1,0,0,0,1,0
3,28,1,0,24.15,371110,1,0,0,1,0,0
3,32,0,0,8.3625,8471,0,0,1,1,0,0
3,24,0,0,9.5,345781,0,0,1,1,0,0
3,48,0,0,7.8542,350047,0,0,1,1,0,0
2,57,0,0,10.5,3,0,0,1,0,1,0
3,28,0,0,7.225,2674,0,1,0,1,0,0
2,54,1,3,23,29105,0,0,1,0,1,1
3,18,0,0,7.75,347078,0,0,1,1,0,0
3,28,0,0,7.75,383121,1,0,0,1,0,0
3,5,0,0,12.475,364516,0,0,1,0,1,1
3,28,0,0,7.7375,36865,1,0,0,1,0,0
1,43,0,1,211.3375,24160,0,0,1,0,1,1
3,13,0,0,7.2292,2687,0,1,0,0,1,1
1,17,1,0,57,17474,0,0,1,0,1,1
1,29,0,0,30,113501,0,0,1,1,0,0
3,28,1,2,23.45,6607,0,0,1,1,0,0
3,25,0,0,7.05,3101312,0,0,1,1,0,0
3,25,0,0,7.25,374887,0,0,1,1,0,0
3,18,0,0,7.4958,3101265,0,0,1,0,1,1
3,8,4,1,29.125,382652,1,0,0,1,0,0
3,1,1,2,20.575,2315,0,0,1,1,0,1
1,46,0,0,79.2,17593,0,1,0,1,0,0
3,28,0,0,7.75,12460,1,0,0,1,0,0
2,16,0,0,26,239865,0,0,1,1,0,0
3,28,8,2,69.55,2343,0,0,1,0,1,0
1,28,0,0,30.6958,17600,0,1,0,1,0,0
3,25,0,0,7.8958,349203,0,0,1,1,0,0
2,39,0,0,13,28213,0,0,1,1,0,0
1,49,0,0,25.9292,17465,0,0,1,0,1,1
3,31,0,0,8.6833,349244,0,0,1,0,1,1
3,30,0,0,7.2292,2685,0,1,0,1,0,0
3,30,1,1,24.15,345773,0,0,1,0,1,0
2,34,0,0,13,250647,0,0,1,1,0,0
2,31,1,1,26.25,31921,0,0,1,0,1,1
1,11,1,2,120,113760,0,0,1,1,0,1
3,0,0,1,8.5167,2625,0,1,0,1,0,1
3,27,0,0,6.975,347089,0,0,1,1,0,1
3,31,0,0,7.775,347063,0,0,1,1,0,0
1,39,0,0,0,112050,0,0,1,1,0,0
3,18,0,0,7.775,347087,0,0,1,0,1,0
2,39,0,0,13,248723,0,0,1,1,0,0
1,33,1,0,53.1,113806,0,0,1,0,1,1
3,26,0,0,7.8875,3474,0,0,1,1,0,0
3,39,0,0,24.15,448871,0,0,1,1,0,0
2,35,0,0,10.5,28206,0,0,1,1,0,0
3,6,4,2,31.275,347082,0,0,1,0,1,0
3,31,0,0,8.05,364499,0,0,1,1,0,0
1,28,0,0,0,112058,0,0,1,1,0,0
3,23,0,0,7.925,23101290,0,0,1,0,1,0
2,31,1,1,37.0042,2079,0,1,0,1,0,0
3,43,0,0,6.45,7075,0,0,1,1,0,0
3,10,3,2,27.9,347088,0,0,1,1,0,0
1,52,1,1,93.5,12749,0,0,1,0,1,1
3,27,0,0,8.6625,315098,0,0,1,1,0,1
1,38,0,0,0,19972,0,0,1,1,0,0
3,27,0,1,12.475,392096,0,0,1,0,1,1
3,2,4,1,39.6875,3101295,0,0,1,1,0,0
3,28,0,0,6.95,368323,1,0,0,1,0,0
3,28,0,0,56.4958,1601,0,0,1,1,0,0
2,1,0,2,37.0042,2079,0,1,0,1,0,1
3,28,0,0,7.75,367228,1,0,0,1,0,1
1,62,0,0,80,113572,0,0,0,0,1,1
3,15,1,0,14.4542,2659,0,1,0,0,1,1
2,1,1,1,18.75,29106,0,0,1,1,0,1
3,28,0,0,7.2292,2671,0,1,0,1,0,0
3,23,0,0,7.8542,347468,0,0,1,1,0,0
3,18,0,0,8.3,2223,0,0,1,1,0,0
1,39,1,1,83.1583,17756,0,1,0,0,1,1
3,21,0,0,8.6625,315097,0,0,1,1,0,0
3,28,0,0,8.05,392092,0,0,1,1,0,0
3,32,0,0,56.4958,1601,0,0,1,1,0,1
1,28,0,0,29.7,11774,0,1,0,1,0,1
3,20,0,0,7.925,23101287,0,0,1,1,0,0
2,16,0,0,10.5,3,0,0,1,1,0,0
1,30,0,0,31,113798,0,1,0,0,1,1
3,35,0,0,6.4375,2683,0,1,0,1,0,0
3,17,0,0,8.6625,315090,0,0,1,1,0,0
3,42,0,0,7.55,5547,0,0,1,1,0,0
3,28,8,2,69.55,2343,0,0,1,1,0,0
3,35,0,0,7.8958,349213,0,1,0,1,0,0
2,28,0,1,33,248727,0,0,1,1,0,0
1,28,1,0,89.1042,17453,0,1,0,0,1,1
3,4,4,2,31.275,347082,0,0,1,1,0,0
3,74,0,0,7.775,347060,0,0,1,1,0,0
3,9,1,1,15.2458,2678,0,1,0,0,1,0
1,16,0,1,39.4,17592,0,0,1,0,1,1
2,44,1,0,26,244252,0,0,1,0,1,0
3,18,0,1,9.35,392091,0,0,1,0,1,1
1,45,1,1,164.8667,36928,0,0,1,0,1,1
1,51,0,0,26.55,113055,0,0,1,1,0,1
3,24,0,3,19.2583,2666,0,1,0,0,1,1
3,28,0,0,7.2292,2629,0,1,0,1,0,0
3,41,2,0,14.1083,350026,0,0,1,1,0,0
2,21,1,0,11.5,28134,0,0,1,1,0,0
1,48,0,0,25.9292,17466,0,0,1,0,1,1
3,28,8,2,69.55,2343,0,0,1,0,1,0
2,24,0,0,13,233866,0,0,1,1,0,0
2,42,0,0,13,236852,0,0,1,0,1,1
2,27,1,0,13.8583,2149,0,1,0,0,1,1
1,31,0,0,50.4958,17590,0,0,1,1,0,0
3,28,0,0,9.5,345777,0,0,1,1,0,0
3,4,1,1,11.1333,347742,0,0,1,1,0,1
3,26,0,0,7.8958,349248,0,0,1,1,0,0
1,47,1,1,52.5542,11751,0,0,1,0,1,1
1,33,0,0,5,695,0,0,1,1,0,0
3,47,0,0,9,345765,0,0,1,1,0,0
2,28,1,0,24,3381,0,1,0,0,1,1
3,15,0,0,7.225,2667,0,1,0,0,1,1
3,20,0,0,9.8458,7534,0,0,1,1,0,0
3,19,0,0,7.8958,349212,0,0,1,1,0,0
3,28,0,0,7.8958,349217,0,0,1,1,0,0
1,56,0,1,83.1583,11767,0,1,0,0,1,1
2,25,0,1,26,230433,0,0,1,0,1,1
3,33,0,0,7.8958,349257,0,0,1,1,0,0
3,22,0,0,10.5167,7552,0,0,1,0,1,0
2,28,0,0,10.5,34068,0,0,1,1,0,0
3,25,0,0,7.05,392076,0,0,1,1,0,0
3,39,0,5,29.125,382652,1,0,0,0,1,0
2,27,0,0,13,211536,0,0,1,1,0,0
1,19,0,0,30,112053,0,0,1,0,1,1
3,28,1,2,23.45,6607,0,0,1,0,1,0
1,26,0,0,30,111369,0,1,0,1,0,1
3,32,0,0,7.75,370376,1,0,0,1,0,0
